,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
40,40,3,0.0146796547144913,207,92597.00831991748,0.5944262981751366,-0.4434071944352724,-0.5385067010065198,673.8279103018413,0.0178181696575514,69.04981101309473,35.11680713390606
41,41,4,0.0147736826704103,504,989053.2112126622,0.3859934597724399,-0.0147683967947955,-0.465642410093414,495.9542439803906,0.0207656957257256,54.08158724871437,60.59629168258515
42,42,4,0.0149341021764409,1027,864728.075176181,0.5548863526739086,0.0274021072059956,-0.1398311291931034,416.43585535531935,0.0125404371649325,66.10136195038928,20.174322398660603
43,43,2,0.0151585168919126,122,10979065.223621314,0.4448457547344174,-0.1627501632223352,0.0923282078903981,556.8907942569259,0.012466264044217,51.0749435483871,322.1323556104601
44,44,3,0.0155374174976551,447,35321.277355122555,0.4522560666141224,-0.6652550238575373,-0.597936327483336,1209.4003138454812,0.0392858231870524,48.55108289241618,18.068432959567076
45,45,2,0.01555603750576,433,155592.90590153416,0.272679688835148,-0.3895045224312227,-0.0837368008050586,1691.0353437380838,0.0161663944902016,57.76539513108616,19.608055871357443
46,46,3,0.0155633233150498,190,23240.971154411098,0.4025133883514787,-0.0505065642806119,0.025353062184852,309.6180191246888,0.0122688296875687,24.342430506058435,20.537643205565185
47,47,3,0.0159244551411292,180,127044.26013120136,0.6509458673593859,-0.5429680256277128,-0.5839566672186628,1626.5176681420917,0.0243213075507018,28.29755555555556,44.4713513995142
48,48,3,0.0162653062205819,196,8244560.686948954,0.3793342364635251,-0.0359836079612823,-0.5771677722534534,466.5048421231986,0.0282521234252413,53.260440085013705,221.29004144935564
49,49,3,0.0164005717899344,279,124802.13886338232,0.5015686838028376,-0.5879155232501635,0.0438188593823975,694.335066710612,0.0112561569816546,24.951040293040275,47.257563256822266
50,50,2,0.0165093538647312,636,667253.490008834,0.3794650484935201,-0.3856532300396065,-0.0203295902995383,699.3323649635462,0.0111870724997009,61.5621464596321,32.189415579443555
51,51,3,0.0169591139222177,208,471648.4864669651,0.3931485214195385,-0.2830610952811767,-0.6199159608993894,785.4666484958992,0.0333829553460151,38.92378019771394,98.09491302615304
52,52,4,0.0171114244722889,240,285201.02640948736,0.4848089666463047,-0.5077775390863085,-0.6171354558404621,1293.601162360521,0.0232646718001852,26.88612500000001,47.1560274682502
53,53,4,0.0176664420518593,352,244603.2657631323,0.5391125138889997,-0.1029155245847618,-0.5461621236303157,904.1388859024884,0.0265191468162172,65.16682388789302,25.9569285037371
